"MEAL","FOOD_CODE","AMOUNT","MODIFIER"
"BEEF","18005",16,"a"
"BEEF","18049",99,
"BURGER","19029",100,
"PORK","18205",23,"a"
"PORK","18251",92,
"LAMB","18100",30,"a"
"LAMB","18141",85,
"CHICKEN","18331",100,
"CHICKEN","18361",15,
"BACON","339",19,"a"
"BACON","19008",41,
"HAM","339",13,"a"
"HAM","19024",47,
"CORNED_BEEF","19128",30,
"CORNED_BEEF","19135",30,
"SAUSAGES","19077",30,
"SAUSAGES","19080",30,
"SAVOURY_PIES","",1,"b"
"SAVOURY_PIES","19056",30,
"SAVOURY_PIES","19063",30,
"SAVOURY_PIES","19067",10,
"SAVOURY_PIES","19068",10,
"SAVOURY_PIES","19069",15,
"SAVOURY_PIES","x0535",15,
"LIVER","18414",40,
"LIVER","18418",15,
"LIVER","19106",5,
"FRIED_FISH","16023",160,
"FISH_FINGERS","16281",58,
"FISH_FINGERS","16289",58,
"WHITE_FISH","16013",115,
"OILY_FISH","16176",19,
"OILY_FISH","16188",19,
"OILY_FISH","16192",19,
"OILY_FISH","16203",19,
"OILY_FISH","16216",19,
"OILY_FISH","16229",19,
"SHELLFISH","16232",20,
"SHELLFISH","16239",20,
"SHELLFISH","16256",20,
"ROE","16307",45,
"WHITE_BREAD","11099",30,
"BROWN_BREAD","11070",30,
"WHOLEMEAL_BREAD","11113",35,
"CRACKERS","11167",10,
"CRISPBREAD","11168",10,
"PORRIDGE","11143",137,
"PORRIDGE","11145",15,
"CEREAL","",30,"c"
"BOILED_POTATOES","13013",125,
"CHIPS","",8,"d"
"CHIPS","13022",63,
"CHIPS","x3025",63,
"ROAST_POTATOES","",3,"d"
"ROAST_POTATOES","17020",3,
"ROAST_POTATOES","x3016",126,
"POTATO_SALAD","15296",15,
"POTATO_SALAD","15297",15,
"POTATO_SALAD","15298",15,
"WHITE_RICE","11043",150,
"BROWN_RICE","11036",140,
"WHITE_PASTA","11062",150,
"WHOLEMEAL_PASTA","11064",180,
"LASAGNE","19238",100,
"LASAGNE","19247",100,
"PIZZA","11349",75,
"PIZZA","11350",75,
"SINGLE_CREAM","12113",20,
"DOUBLE_CREAM","12116",20,
"LOWFAT_YOGURT","12160",42,
"LOWFAT_YOGURT","12188",42,
"LOWFAT_YOGURT","12190",42,
"FULLFAT_YOGURT","12185",63,
"FULLFAT_YOGURT","12194",63,
"DAIRY_DESSERT","12220",63,
"DAIRY_DESSERT","12247",63,
"CHEESE","12131",10,
"CHEESE","12134",12,
"CHEESE","12154",12,
"COTTAGE_CHEESE","12147",60,
"EGGS","12801",50,
"QUICHE","12283",75,
"QUICHE","12285",75,
"LOWCAL_SALAD_CREAM","17327",30,
"SALAD_CREAM","17316",10,
"SALAD_CREAM","17326",20,
"FRENCH","17302",15,
"OTHER_DRESSING","17318",30,
"BUTTER","17013",10,
"HARD_MARGARINE","17018",10,
"POLYUNSATURATED_MARGARINE","17023",10,
"OTHER_MARGARINE","17020",10,
"LOWFAT_SPREAD","17026",10,
"VERY_LOWFAT_SPREAD","17028",10,
"CHOCOLATE_BISCUIT","11169",17,
"PLAIN_BISCUIT","11183",8,
"HOMEBAKED_CAKE","",13,"b"
"HOMEBAKED_CAKE","x1201",35,
"HOMEBAKED_CAKE","x1211",33,
"READYMADE_CAKE","11200",35,
"READYMADE_CAKE","17020",9,
"READYMADE_CAKE","x1211",33,
"HOMEBAKED_BUNS","",13,"b"
"HOMEBAKED_BUNS","x1171",30,
"HOMEBAKED_BUNS","x1266",24,
"READYMADE_BUNS","11242",38,
"READYMADE_BUNS","17020",4,
"READYMADE_BUNS","x1120",25,
"HOMEBAKED_FRUIT_PIES","",13,"b"
"HOMEBAKED_FRUIT_PIES","x1294",75,
"HOMEBAKED_FRUIT_PIES","x1309",60,
"READYMADE_FRUIT_PIES","11310",60,
"READYMADE_FRUIT_PIES","17020",24,
"READYMADE_FRUIT_PIES","x1294",70,
"HOMEBAKED_SPONGE","",29,"b"
"HOMEBAKED_SPONGE","x1325",170,
"READYMADE_SPONGE","17020",24,
"READYMADE_SPONGE","x1325",170,
"MILK_PUDDINGS","12248",80,
"MILK_PUDDINGS","12250",50,
"ICE_CREAM","12200",27,
"ICE_CREAM","12204",27,
"ICE_CREAM","12206",27,
"CHOCOLATES","17088",8,
"CHOCOLATE_BARS","17094",25,
"CHOCOLATE_BARS","17100",25,
"SWEETS","17101",10,
"SWEETS","17117",10,
"SWEETS","17120",10,
"SUGAR","17063",6,
"CRISPS","17133",30,
"NUTS","14821",10,
"NUTS","14834",20,
"VEGETABLE_SOUP","17284",200,
"MEAT_SOUP","17250",100,
"MEAT_SOUP","17272",100,
"SAUCES","",2,"b"
"SAUCES","x2268",15,
"SAUCES","x2296",15,
"KETCHUP","17338",30,
"PICKLES","17341",20,
"PICKLES","17352",20,
"MARMITE","17380",9,
"JAM","17073",18,
"PEANUT_BUTTER","14829",19,
"TEA","17165",190,
"INSTANT_COFFEE","17152",190,
"DECAFF_COFFEE","17152",190,
"COFFEE_WHITENER","12027",3,
"COCOA","1064",12,
"HORLICKS","12097",12,
"HORLICKS","12108",12,
"WINE","17229",125,
"BEER","17211",192,
"BEER","17222",96,
"PORT","17236",25,
"PORT","17240",25,
"SPIRITS","17247",23,
"LOWCAL_FIZZY_DRINKS","a7001",200,
"FIZZY_DRINKS","17175",100,
"FIZZY_DRINKS","17179",100,
"FRUIT_JUICE","14271",60,
"FRUIT_JUICE","14283",60,
"FRUIT_SQUASH","17189",40,
"APPLES","14013",120,
"PEARS","14191",60,
"PEARS","14193",60,
"ORANGES","14176",120,
"GRAPEFRUIT","14105",80,
"BANANAS","14045",100,
"GRAPES","14109",50,
"MELONS","14153",180,
"PEACHES","14025",10,
"PEACHES","14183",10,
"PEACHES","14213",10,
"STRAWBERRIES","14124",20,
"STRAWBERRIES","14244",10,
"STRAWBERRIES","14260",10,
"TINNED_FRUIT","14096",60,
"TINNED_FRUIT","14097",60,
"DRIED_FRUIT","14031",10,
"DRIED_FRUIT","14231",9,
"DRIED_FRUIT","14242",6,
"CARROTS","13201",34,
"CARROTS","13204",30,
"SPINACH","13344",75,
"BROCCOLI","13171",42,
"BROCCOLI","13349",38,
"SPROUTS","13178",87,
"CABBAGE","13193",30,
"CABBAGE","13195",32,
"CABBAGE","13197",29,
"PEAS","13133",31,
"PEAS","13135",32,
"GREEN_BEANS","13065",26,
"GREEN_BEANS","13082",20,
"GREEN_BEANS","13113",24,
"MARROW","13231",36,
"MARROW","13275",36,
"CAULIFLOWER","13216",110,
"PARSNIPS","13313",32,
"PARSNIPS","13360",42,
"LEEKS","13264",76,
"ONIONS","13304",34,
"GARLIC","13244",5,
"MUSHROOMS","13285",45,
"PEPPERS","13318",13,
"PEPPERS","13320",13,
"BEANSPROUTS","13052",42,
"GREEN_SALAD","13221",14,
"GREEN_SALAD","13233",10,
"GREEN_SALAD","13266",11,
"WATERCRESS","13396",17,
"TOMATOES","13384",57,
"SWEETCORN","13369",43,
"BEETROOT","13166",48,
"COLESLAW","15077",20,
"COLESLAW","15078",20,
"COLESLAW","15079",20,
"AVOCADO","14037",70,
"BEANS","13043",42,
"BEANS","13045",42,
"BEANS","13046",42,
"LENTILS","13092",35,
"LENTILS","13142",35,
"TOFU","13119",50,
"TOFU","15314",6,
"TOFU","15330",33,
